Player,Tm,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Succ%,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,Player-additional
Tua Tagovailoa,MIA,140,197,71.1,1876,14,7.1,5,2.5,57.6,9.5,9.8,13.4,312.7,114.1,74.7,6,42,3.0,9.03,9.31,TagoTu00
Kirk Cousins,MIN,158,235,67.2,1679,14,6.0,4,1.7,44.4,7.1,7.6,10.6,279.8,100.6,56.8,15,97,6.0,6.33,6.73,CousKi00
Matthew Stafford,LAR,139,227,61.2,1677,6,2.6,5,2.2,46.9,7.4,6.9,12.1,279.5,83.5,59.9,16,124,6.6,6.39,5.96,StafMa00
C.J. Stroud,HOU,127,213,59.6,1660,9,4.2,1,0.5,44.7,7.8,8.4,13.1,276.7,96.4,55.5,13,115,5.8,6.84,7.43,StroCJ00
Jared Goff,DET,141,203,69.5,1618,11,5.4,3,1.5,53.1,8.0,8.4,11.5,269.7,105.1,73.3,10,61,4.7,7.31,7.71,GoffJa00
Patrick Mahomes,KAN,153,224,68.3,1593,11,4.9,5,2.2,50.0,7.1,7.1,10.4,265.5,95.7,72.6,6,41,2.6,6.75,6.73,MahoPa00
Josh Allen,BUF,147,205,71.7,1576,13,6.3,6,2.9,52.8,7.7,7.6,10.7,262.7,102.8,75.1,9,36,4.2,7.20,7.15,AlleJo02
Jalen Hurts,PHI,141,213,66.2,1542,7,3.3,7,3.3,44.1,7.2,6.4,10.9,257.0,84.7,59.9,14,72,6.2,6.48,5.70,HurtJa00
Sam Howell,WAS,145,214,67.8,1500,9,4.2,6,2.8,45.2,7.0,6.6,10.3,250.0,90.1,46.8,34,215,13.7,5.18,4.82,HoweSa00
Trevor Lawrence,JAX,141,210,67.1,1439,7,3.3,3,1.4,50.0,6.9,6.9,10.2,239.8,91.7,54.4,16,104,7.1,5.91,5.93,LawrTr00
Brock Purdy,SFO,110,163,67.5,1396,10,6.1,1,0.6,53.4,8.6,9.5,12.7,232.7,111.9,76.9,11,59,6.3,7.68,8.57,PurdBr00
Desmond Ridder,ATL,130,203,64.0,1380,6,3.0,6,3.0,44.1,6.8,6.1,10.6,230.0,81.3,40.0,19,130,8.6,5.63,4.95,RiddDe00
Justin Herbert,LAC,125,182,68.7,1333,9,4.9,2,1.1,49.5,7.3,7.8,10.7,266.6,101.7,67.8,10,87,5.2,6.49,6.96,HerbJu00
Dak Prescott,DAL,132,190,69.5,1333,6,3.2,4,2.1,48.5,7.0,6.7,10.1,222.2,91.0,63.3,14,92,6.9,6.08,5.79,PresDa01
Russell Wilson,DEN,122,185,65.9,1305,12,6.5,4,2.2,41.7,7.1,7.4,10.7,217.5,99.0,39.8,19,103,9.3,5.89,6.19,WilsRu00
