Player,Tm,Att,Yds,TD,Succ%,Y/A,Y/G,Fmb,-9999
Christian McCaffrey,SFO,99,510,7,55.6,5.2,102.0,2,McCaCh01
Travis Etienne,JAX,95,396,3,46.3,4.2,79.2,0,EtieTr00
Zack Moss,IND,89,445,3,49.4,5.0,111.3,0,MossZa00
David Montgomery,DET,88,371,6,55.7,4.2,92.8,1,MontDa01
Derrick Henry,TEN,86,328,2,45.3,3.8,65.6,0,HenrDe00
Joe Mixon,CIN,84,328,1,47.6,3.9,65.6,0,MixoJo00
Dameon Pierce,HOU,84,247,1,39.3,2.9,49.4,0,PierDa01
Josh Jacobs,LVR,82,235,2,47.6,2.9,47.0,0,JacoJo01
Tony Pollard,DAL,81,340,2,53.1,4.2,68.0,2,PollTo00
Kyren Williams,LAR,77,298,5,57.1,3.9,59.6,1,WillKy02
D'Andre Swift,PHI,76,434,2,64.5,5.7,86.8,0,SwifDA00
Isiah Pacheco,KAN,71,325,3,52.1,4.6,65.0,0,PachIs00
James Conner,ARI,68,364,2,48.5,5.4,72.8,0,ConnJa00
Rhamondre Stevenson,NWE,68,188,1,42.6,2.8,37.6,0,StevRh00
Bijan Robinson,ATL,67,364,0,47.8,5.4,72.8,1,RobiBi01
Brian Robinson Jr.,WAS,67,271,3,47.8,4.0,54.2,1,RobiBr01
AJ Dillon,GNB,64,194,1,50.0,3.0,38.8,0,DillAJ00
Alexander Mattison,MIN,64,276,0,48.4,4.3,55.2,1,MattAl01
Kenneth Walker III,SEA,64,283,5,53.1,4.4,70.8,0,WalkKe00
Najee Harris,PIT,63,247,0,44.4,3.9,49.4,0,HarrNa00
Rachaad White,TAM,63,206,1,44.4,3.3,51.5,1,WhitRa01
Tyler Allgeier,ATL,62,191,2,43.5,3.1,38.2,0,AllgTy00
James Cook,BUF,61,292,1,50.8,4.8,58.4,0,CookJa01
Miles Sanders,CAR,61,190,1,34.4,3.1,38.0,2,SandMi01
Raheem Mostert,MIA,58,314,7,53.4,5.4,62.8,3,MostRa00
Joshua Kelley,LAC,57,207,1,45.6,3.6,51.8,0,KellJo01
Gus Edwards,BAL,56,241,1,46.4,4.3,48.2,0,EdwaGu00
Jalen Hurts,PHI,55,206,4,60.0,3.7,41.2,1,HurtJa00
Breece Hall,NYJ,54,387,1,46.3,7.2,77.4,2,HallBr03
Khalil Herbert,CHI,51,272,0,51.0,5.3,54.4,1,HerbKh00
Jerome Ford,CLE,50,186,1,34.0,3.7,46.5,1,FordJe00
Lamar Jackson,BAL,47,265,4,53.2,5.6,53.0,7,JackLa00
Ezekiel Elliott,NWE,42,159,0,40.5,3.8,31.8,1,ElliEz00
Justin Fields,CHI,39,191,1,59.0,4.9,38.2,4,FielJu00
Kenneth Gainwell,PHI,39,128,0,38.5,3.3,32.0,1,GainKe00
Jahmyr Gibbs,DET,39,179,0,35.9,4.6,44.8,0,GibbJa01
De'Von Achane,MIA,38,460,5,71.1,12.1,115.0,1,AchaDe00
Daniel Jones,NYG,38,197,1,52.6,5.2,39.4,4,JoneDa05
