awayteam,hometeam,spread,home_spread_ml,away_spread_ml,ou,over_ml,under_ml,away_ml,home_ml
JAX,NOR,-2.5,-115,-105,40.5,-110,-110,+115,-135
CLE,IND,+3,-110,-110,40.5,-110,-110,-165,+140
BUF,NWE,+8.5,-115,-105,40.5,-100,-120,-400,+320
LVR,CHI,+2.5,-105,-115,37.5,-105,-115,-150,+130
WAS,NYG,+3,-120,-100,37.5,-105,-115,-150,+130
ATL,TAM,-2.5,-115,-105,37.5,-105,-115,+120,-140
DET,BAL,-3,-105,-115,43.5,-100,-120,+130,-150
ARI,SEA,-7.5,-110,-110,44.5,-110,-110,+280,-350
PIT,LAR,-3,-120,-100,43.5,-115,-105,+140,-165
GNB,DEN,+1,-105,-115,44.5,-115,-105,-120,-100
LAC,KAN,-5.5,-110,-110,48.5,-105,-115,+195,-230
MIA,PHI,-2.5,-120,-100,61.5,-110,-110,+120,-140
SFO,MIN,+6.5,-100,-120,43.5,-115,-105,-300,+250
